propcode,year,pname,region,postcode,stars,bedrooms,sleeps,doubles,twin,singles,bunks,familyrooms,propid,shortbreakok,bathrooms,createdate,place,county
122F2000,2002,Taw Leat,Dartmoor,,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,,,
122F2000,2010,Taw Leat,Dartmoor,TR5 0RT,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,1,0,1.0,,,
231S2000,2001,Hillcott,South Hams,,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,,,
231S2000,2002,Hillcott,South Hams,,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,,,
371S2000,2001,Lower Pencubitt,South Cornwall,PL14 4JT,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,5,0,0.0,,,
371S2000,2002,Lower Pencubitt,South Cornwall,PL14 4JT,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6,0,0.0,,,
394F2000,2001,Venton House,South Cornwall,PL10 1AW,5.0,8.0,17.0,5.0,2.0,0.0,0.0,1.0,7,0,0.0,,,
394F2000,2002,Venton House,South Cornwall,PL10 1AW,5.0,8.0,17.0,5.0,2.0,0.0,0.0,1.0,8,0,0.0,,,
620S2000,2001,Harbour Edge,South Hams,,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,9,0,0.0,,,
620S2000,2002,Harbour Edge,South Hams,,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,10,0,0.0,,,
A1,2001,Hayne Cottage,Dartmoor,TQ13 8SB,4.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,98,0,0.0,,,
A1,2002,Hayne Cottage,Dartmoor,TQ13 8SB,4.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,99,0,0.0,,,
A1,2003,Hayne Cottage,Dartmoor,TQ13 8SB,4.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,1078,0,0.0,,,
A1,2004,Hayne Cottage,Dartmoor,TQ13 8SB,4.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,1941,0,2.0,,,
A1,2005,Hayne Cottage,Dartmoor,TQ13 8SB,4.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,2830,0,2.0,,,
A1,2006,Hayne Cottage,Dartmoor,TQ13 8SB,4.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,3593,0,2.0,,,
A1,2007,Hayne Cottage,Dartmoor,TQ13 8SB,4.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,4174,0,2.0,,,
A1,2008,Hayne Cottage,Dartmoor,TQ13 8SB,4.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,4714,0,2.0,,Moretonhampstead,Devon
A1,2009,Hayne Cottage,Dartmoor,TQ13 8SB,4.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,5402,0,2.0,,Moretonhampstead,Devon
A10,2001,Log Cabin,Dartmoor,TQ13 8RH,3.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,11,0,0.0,,,
A10,2002,Log Cabin,Dartmoor,TQ13 8RH,3.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,12,0,0.0,,,
A100,2003,Sloncombe House,Dartmoor,TQ13 8QF,4.5,4.0,9.0,1.0,2.0,0.0,0.0,1.0,2262,-1,0.0,,,
A100,2004,Sloncombe House,Dartmoor,TQ13 8QF,4.5,4.0,9.0,1.0,2.0,0.0,0.0,1.0,2263,-1,2.0,,,
A100,2005,Sloncombe House,Dartmoor,TQ13 8QF,4.5,4.0,9.0,1.0,2.0,0.0,0.0,1.0,2621,-1,2.0,,,
A100,2006,Sloncombe House,Dartmoor,TQ13 8QF,4.5,4.0,9.0,1.0,2.0,0.0,0.0,1.0,3523,-1,2.0,,,
A100,2007,Sloncombe House,Dartmoor,TQ13 8QF,4.5,4.0,9.0,1.0,2.0,0.0,0.0,1.0,4044,-1,2.0,,,
A100,2008,Sloncombe House,Dartmoor,TQ13 8QF,4.5,4.0,9.0,1.0,2.0,0.0,0.0,1.0,4905,-1,2.0,,Moretonhampstead,Devon
A101,2005,Old Stable Cottage,Dartmoor,EX20 1SD,3.5,3.0,6.0,1.0,1.0,0.0,1.0,0.0,3212,-1,2.0,,,
A101,2006,Old Stable Cottage,Dartmoor,EX20 1SD,3.5,3.0,6.0,1.0,1.0,0.0,1.0,0.0,3213,-1,2.0,,,
A102,2005,Middle Corscombe Farm,Dartmoor,EX20 1SD,3.0,8.0,15.0,4.0,2.0,1.0,1.0,0.0,3673,-1,5.0,,,
A102,2006,Middle Corscombe Farm,Dartmoor,EX20 1SD,3.0,8.0,15.0,4.0,2.0,1.0,1.0,0.0,3674,-1,5.0,,,
A102,2007,Middle Corscombe Farm,Dartmoor,EX20 1SD,4.0,8.0,15.0,4.0,2.0,1.0,1.0,0.0,4155,-1,5.0,,,
A102,2008,Middle Corscombe Farm,Dartmoor,EX20 1SD,4.0,8.0,14.0,4.0,2.0,1.0,1.0,0.0,4906,-1,5.0,,Belstone,Devon
A102,2009,Middle Corscombe Farm,Dartmoor,EX20 1SD,4.0,8.0,14.0,4.0,2.0,1.0,1.0,0.0,5403,-1,5.0,,Belstone,Devon
A103,2009,The Old School House,Dartmoor,TQ13 9TD,3.5,2.0,4.0,1.0,1.0,0.0,0.0,0.0,7003,-1,1.0,2009-10-15,Lustleigh,Devon
A103,2010,The Old School House,Dartmoor,TQ13 9TD,3.5,2.0,4.0,1.0,1.0,0.0,0.0,0.0,7004,-1,1.0,2009-10-15,Lustleigh,Devon
A103,2011,The Old School House,Dartmoor,TQ13 9TD,3.5,2.0,4.0,1.0,1.0,0.0,0.0,0.0,7059,-1,1.0,2010-03-24,Lustleigh,Devon
A103,2012,The Old School House,Dartmoor,TQ13 9TD,3.5,2.0,4.0,1.0,1.0,0.0,0.0,0.0,7871,-1,1.0,2011-04-01,Lustleigh,Devon
A103,2013,The Old School House,Dartmoor,TQ13 9TD,3.5,2.0,4.0,1.0,1.0,0.0,0.0,0.0,8784,-1,1.0,2012-04-03,Lustleigh,Devon
A103,2014,The Old School House,Dartmoor,TQ13 9TD,3.5,2.0,4.0,1.0,1.0,0.0,0.0,0.0,9762,-1,1.0,2013-04-05,Lustleigh,Devon
A104,2009,Rose Cottage,Dartmoor,TQ13 8RE,4.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,7008,-1,2.0,2009-11-04,North Bovey,Devon
A104,2010,Rose Cottage,Dartmoor,TQ13 8RE,4.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,7009,-1,2.0,2009-11-04,North Bovey,Devon
A104,2011,Rose Cottage,Dartmoor,TQ13 8RE,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,7060,-1,2.0,2010-03-24,North Bovey,Devon
A104,2012,Rose Cottage,Dartmoor,TQ13 8RE,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,7872,-1,2.0,2011-04-01,North Bovey,Devon
A104,2013,Rose Cottage,Dartmoor,TQ13 8RE,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,8785,-1,2.0,2012-04-03,North Bovey,Devon
A104,2014,Rose Cottage,Dartmoor,TQ13 8RE,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,9763,-1,2.0,2013-04-05,North Bovey,Devon
A105,2009,The Old School,Dartmoor,TQ13 8RA,4.0,3.0,7.0,2.0,1.0,0.0,0.0,0.0,7031,-1,4.0,2009-12-15,North Bovey,Devon
A105,2010,The Old School,Dartmoor,TQ13 8RA,4.0,3.0,7.0,2.0,1.0,0.0,0.0,0.0,7032,-1,4.0,2009-12-15,North Bovey,Devon
A105,2011,The Old School,Dartmoor,TQ13 8RA,4.5,3.0,7.0,2.0,1.0,0.0,0.0,0.0,7061,-1,4.0,2010-03-24,North Bovey,Devon
A105,2012,The Old School,Dartmoor,TQ13 8RA,4.5,3.0,7.0,2.0,1.0,0.0,0.0,0.0,7873,-1,4.0,2011-04-01,North Bovey,Devon
A106,2009,Manor Cottage,Dartmoor,TQ13 8AS,3.5,2.0,4.0,1.0,0.0,1.0,0.0,0.0,7033,-1,1.0,2009-12-17,Chagford,Devon
A106,2010,Manor Cottage,Dartmoor,TQ13 8AS,3.5,2.0,4.0,1.0,0.0,1.0,0.0,0.0,7038,-1,1.0,2009-12-17,Chagford,Devon
A106,2011,Manor Cottage,Dartmoor,TQ13 8AS,3.5,2.0,4.0,1.0,0.0,1.0,0.0,0.0,7062,-1,1.0,2010-03-24,Chagford,Devon
A106,2012,Manor Cottage,Dartmoor,TQ13 8AS,3.5,2.0,4.0,1.0,0.0,1.0,0.0,0.0,7874,-1,1.0,2011-04-01,Chagford,Devon
A106,2013,Manor Cottage,Dartmoor,TQ13 8AS,3.5,2.0,4.0,1.0,0.0,1.0,0.0,0.0,8786,-1,1.0,2012-04-03,Chagford,Devon
A106,2014,Manor Cottage,Dartmoor,TQ13 8AS,3.5,2.0,4.0,1.0,0.0,1.0,0.0,0.0,9764,-1,1.0,2013-04-05,Chagford,Devon
A107,2009,Lot Cottage,Dartmoor,EX20 4AW,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,7042,-1,1.0,2009-12-30,Lydford,Devon
A107,2010,Lot Cottage,Dartmoor,EX20 4AW,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,7043,-1,1.0,2009-12-30,Lydford,Devon
A107,2011,Lot Cottage,Dartmoor,EX20 4AW,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,7063,-1,1.0,2010-03-24,Lydford,Devon
A107,2012,Lot Cottage,Dartmoor,EX20 4AW,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,7875,-1,1.0,2011-04-01,Lydford,Devon
A107,2013,Lot Cottage,Dartmoor,EX20 4AW,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,8787,-1,1.0,2012-04-03,Lydford,Devon
A107,2014,Lot Cottage,Dartmoor,EX20 4AW,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,9765,-1,1.0,2013-04-05,Lydford,Devon
A108,2010,The Barn,Dartmoor,TQ13 9SG,4.0,3.0,8.0,1.0,2.0,0.0,0.0,0.0,7046,-1,3.0,2010-01-21,Lustleigh,Devon
A108,2011,The Barn,Dartmoor,TQ13 9SG,4.0,3.0,8.0,1.0,2.0,0.0,0.0,0.0,7064,-1,3.0,2010-03-24,Lustleigh,Devon
